rank,report_id,response_type,S_final
1,S3-R1-C,R1,8.3292
2,S2-R1-C,R1,8.1764
3,S1-R1-C,R1,8.1146
4,S2-V9,AKM,7.8060
5,S3-V9,AKM,7.6306
6,S1-R1-G,R1,7.6021
7,S1-V5,AKM,7.5910
8,S2-V8,AKM,7.4850
9,S3-R1-G,R1,7.4129
10,S3-V5,AKM,7.3758
11,S2-V6,AKM,7.3430
12,S2-V3,AKM,7.2475
13,S3-V3,AKM,7.2243
14,S3-B1-Ki-v2,B1,7.1690
15,S3-B1-Mi-v2,B1,7.1681
16,S3-B1-Mi-v1,B1,7.1335
17,S2-R1-G,R1,7.1144
18,S3-V6,AKM,7.0908
19,S1-V3,AKM,7.0448
20,S2-V7,AKM,7.0350
21,S2-V1,AKM,6.9131
22,S3-B1-Ki-v3,B1,6.9015
23,S2-V5,AKM,6.8981
24,S1-V9,AKM,6.8921
25,S1-V2,AKM,6.8792
26,S2-B1-Mi-v3,B1,6.8681
27,S1-B1-Mi-v2,B1,6.8583
28,S1-B1-Mi-v1,B1,6.8364
29,S1-V8,AKM,6.8323
30,S1-V6,AKM,6.8131
31,S2-B1-Ki-v1,B1,6.8073
32,S3-B1-Ki-v1,B1,6.8060
33,S3-V4,AKM,6.8060
34,S2-B1-Mi-v2,B1,6.8004
35,S2-V4,AKM,6.7702
36,S1-V1,AKM,6.7548
37,S2-B1-Ki-v2,B1,6.7388
38,S2-B1-Mi-v1,B1,6.6975
39,S1-B1-Ki-v2,B1,6.6196
40,S1-B1-Ki-v1,B1,6.6062
41,S3-B1-Mi-v3,B1,6.5875
42,S3-V1,AKM,6.5625
43,S2-V2,AKM,6.5481
44,S1-V7,AKM,6.5388
45,S3-B1-D-v3,B1,6.5290
46,S3-V8,AKM,6.5167
47,S1-V4,AKM,6.5108
48,S2-B1-D-v2,B1,6.3069
49,S2-B1-Ki-v3,B1,6.2398
50,S1-B1-Mi-v3,B1,6.2167
51,S3-V2,AKM,6.1544
52,S3-V7,AKM,6.1521
53,S3-B1-D-v1,B1,6.1430
54,S2-B1-D-v3,B1,6.1146
55,S3-B1-D-v2,B1,6.1060
56,S2-B1-D-v1,B1,6.0892
57,S1-B1-D-v1,B1,6.0427
58,S1-B1-Ki-v3,B1,5.9850
59,S1-B1-D-v3,B1,5.8042
60,S1-B1-D-v2,B1,5.7942
