criterion,dimension,AKM_mean,B1_mean,R1_mean,gap_AKM_minus_B1,gap_R1_minus_AKM,gap_R1_minus_B1
A1,A,7.000,6.463,8.417,+0.537,+1.417,+1.954
A2,A,5.370,5.315,6.000,+0.056,+0.630,+0.685
A3,A,7.315,6.630,7.750,+0.685,+0.435,+1.120
A4,A,7.630,7.241,8.333,+0.389,+0.704,+1.093
A5,A,7.722,7.370,8.583,+0.352,+0.861,+1.213
B1,B,7.963,7.241,8.833,+0.722,+0.870,+1.593
B2,B,7.556,7.093,8.167,+0.463,+0.611,+1.074
B3,B,6.722,6.333,6.833,+0.389,+0.111,+0.500
B4,B,7.593,7.056,8.667,+0.537,+1.074,+1.611
B5,B,6.463,4.704,5.833,+1.759,-0.630,+1.130
B6,B,6.370,5.630,6.583,+0.741,+0.213,+0.954
C1,C,7.241,6.370,8.000,+0.870,+0.759,+1.630
C2,C,7.519,7.074,8.333,+0.444,+0.815,+1.259
C3,C,7.870,7.296,9.083,+0.574,+1.213,+1.787
C4,C,6.611,6.333,7.417,+0.278,+0.806,+1.083
C5,C,7.556,6.296,8.083,+1.259,+0.528,+1.787
C6,C,7.259,5.944,8.000,+1.315,+0.741,+2.056
D1,D,7.519,6.852,8.083,+0.667,+0.565,+1.231
D2,D,6.037,4.870,7.583,+1.167,+1.546,+2.713
D3,D,7.259,6.796,8.000,+0.463,+0.741,+1.204
D4,D,7.630,7.241,8.417,+0.389,+0.787,+1.176
D5,D,7.241,5.981,8.417,+1.259,+1.176,+2.435
D6,D,6.593,6.259,7.167,+0.333,+0.574,+0.907
D7,D,6.278,6.370,7.250,-0.093,+0.972,+0.880
D8,D,5.815,7.796,8.500,-1.981,+2.685,+0.704
E1,E,7.556,7.944,9.250,-0.389,+1.694,+1.306
E2,E,5.352,7.574,8.500,-2.222,+3.148,+0.926
E3,E,8.019,7.648,8.417,+0.370,+0.398,+0.769
E4,E,6.241,6.593,7.417,-0.352,+1.176,+0.824
E5,E,7.815,6.352,8.667,+1.463,+0.852,+2.315
